departure_odate,return_odate,total_usd
2016-10-09,2016-10-09,486.24
2016-10-09,2016-10-10,350.57
2016-10-09,2016-10-11,402.47
2016-10-09,2016-10-12,319.69
2016-10-09,2016-10-13,281.24
2016-10-09,2016-10-14,306.69
2016-10-09,2016-10-15,304.0
2016-10-09,2016-10-16,310.0
2016-10-09,2016-10-18,417.69
2016-10-09,2016-10-19,393.69
2016-10-09,2016-10-22,323.9
2016-10-10,2016-10-11,397.8
2016-10-10,2016-10-12,402.47
2016-10-10,2016-10-13,306.69
2016-10-10,2016-10-14,306.69
2016-10-10,2016-10-15,282.34
2016-10-10,2016-10-16,349.24
2016-10-10,2016-10-17,290.0
2016-10-10,2016-10-18,321.08
2016-10-10,2016-10-19,300.18
2016-10-10,2016-10-24,306.79
2016-10-10,2016-10-28,313.9
2016-10-11,2016-10-13,290.0
2016-10-11,2016-10-14,402.39
2016-10-11,2016-10-15,343.69
2016-10-11,2016-10-16,341.47
2016-10-11,2016-10-17,319.69
2016-10-11,2016-10-18,284.74
2016-10-11,2016-10-19,317.47
2016-10-11,2016-10-21,265.34
2016-10-11,2016-10-28,730.0
2016-10-12,2016-10-14,404.69
2016-10-12,2016-10-15,319.69
2016-10-12,2016-10-16,463.29
2016-10-12,2016-10-17,319.69
2016-10-12,2016-10-18,393.24
2016-10-12,2016-10-19,313.08
2016-10-12,2016-10-20,337.52
2016-10-12,2016-10-21,313.08
2016-10-12,2016-10-22,371.08
2016-10-12,2016-10-23,426.69
2016-10-12,2016-10-24,331.08
2016-10-12,2016-10-25,337.52
2016-10-13,2016-10-13,455.47
2016-10-13,2016-10-15,415.62
2016-10-13,2016-10-16,282.34
2016-10-13,2016-10-17,299.34
2016-10-13,2016-10-18,375.08
2016-10-13,2016-10-19,313.08
2016-10-13,2016-10-20,290.28
2016-10-13,2016-10-21,300.18
2016-10-13,2016-10-22,282.34
2016-10-13,2016-10-23,347.62
2016-10-13,2016-10-24,290.0
2016-10-13,2016-10-25,313.08
2016-10-13,2016-10-27,304.57
2016-10-14,2016-10-14,455.69
2016-10-14,2016-10-15,367.52
2016-10-14,2016-10-16,282.34
2016-10-14,2016-10-17,282.34
2016-10-14,2016-10-18,323.69
2016-10-14,2016-10-19,343.69
2016-10-14,2016-10-20,306.79
